35
-7
20190108:1310,8.3,138.54,2.83,23.23,7.87,2.07,0.0
20190108:1410,4.33,106.03,2.16,19.36,8.11,2.62,0.0
20190108:1510,0.0,53.01,1.13,13.2,8.27,3.31,0.0
20190108:1610,0.0,15.39,0.33,5.28,8.5,3.86,0.0
20190108:1710,0.0,0.0,0.0,0.0,8.41,4.07,0.0
20190108:1810,0.0,0.0,0.0,0.0,8.35,4.55,0.0
20190108:1910,0.0,0.0,0.0,0.0,8.41,4.62,0.0
20190108:2010,0.0,0.0,0.0,0.0,8.38,4.9,0.0
20190108:2110,0.0,0.0,0.0,0.0,8.53,5.1,0.0
20190108:2210,0.0,0.0,0.0,0.0,8.5,5.38,0.0
20190108:2310,0.0,0.0,0.0,0.0,8.5,5.72,0.0
20190109:0010,0.0,0.0,0.0,0.0,8.6,5.86,0.0
20190109:0110,0.0,0.0,0.0,0.0,8.44,6.07,0.0
20190109:0210,0.0,0.0,0.0,0.0,8.42,6.07,0.0
20190109:0310,0.0,0.0,0.0,0.0,8.53,6.14,0.0
20190109:0410,0.0,0.0,0.0,0.0,8.6,5.72,0.0
20190109:0510,0.0,0.0,0.0,0.0,8.79,5.31,0.0
20190109:0610,0.0,0.0,0.0,0.0,8.79,4.83,0.0
20190109:0710,0.0,0.0,0.0,0.0,8.56,5.38,0.0
20190109:0810,14.18,17.64,0.37,3.53,8.13,5.17,0.0
20190109:0910,0.0,30.87,0.62,11.77,7.9,4.83,0.0
20190109:1010,0.0,39.05,0.79,18.36,7.75,5.1,0.0
20190109:1110,0.0,47.22,0.95,22.76,7.42,5.03,0.0
20190109:1210,0.0,63.56,1.28,24.51,7.3,4.55,0.0
20190109:1310,0.0,58.11,1.17,23.38,7.1,4.34,0.0
20190109:1410,0.0,71.74,1.44,19.53,7.52,4.76,0.0
20190109:1510,0.0,56.42,1.21,13.37,7.4,5.03,0.0
20190109:1610,0.0,23.94,0.51,5.44,7.05,4.97,0.0
20190109:1710,0.0,0.0,0.0,0.0,6.81,4.97,0.0
20190109:1810,0.0,0.0,0.0,0.0,6.59,5.03,0.0
20190109:1910,0.0,0.0,0.0,0.0,6.78,5.72,0.0
20190109:2010,0.0,0.0,0.0,0.0,6.54,5.66,0.0
20190109:2110,0.0,0.0,0.0,0.0,6.32,5.86,0.0
20190109:2210,0.0,0.0,0.0,0.0,6.05,5.59,0.0
20190109:2310,0.0,0.0,0.0,0.0,6.02,5.66,0.0
20190110:0010,0.0,0.0,0.0,0.0,5.94,5.66,0.0
20190110:0110,0.0,0.0,0.0,0.0,5.8,5.03,0.0
20190110:0210,0.0,0.0,0.0,0.0,5.6,4.83,0.0
20190110:0310,0.0,0.0,0.0,0.0,5.53,4.97,0.0
20190110:0410,0.0,0.0,0.0,0.0,5.19,5.24,0.0
20190110:0510,0.0,0.0,0.0,0.0,5.12,5.24,0.0
20190110:0610,0.0,0.0,0.0,0.0,5.02,5.17,0.0
20190110:0710,0.0,0.0,0.0,0.0,4.86,5.72,0.0
20190110:0810,0.0,2.72,0.05,3.58,4.54,5.59,0.0
20190110:0910,226.39,119.24,2.83,11.84,4.72,5.52,0.0
20190110:1010,0.0,83.54,1.68,18.46,4.71,5.38,0.0
20190110:1110,0.0,44.49,0.9,22.88,4.83,5.72,0.0
20190110:1210,97.21,208.59,4.62,24.65,4.69,5.31,0.0
20190110:1310,49.4,179.19,3.84,23.54,4.61,4.83,0.0
20190110:1410,227.02,182.19,4.68,19.7,4.5,4.41,0.0
20190110:1510,0.0,79.51,1.7,13.54,4.43,4.28,0.0
20190110:1610,0.0,30.78,0.66,5.62,4.36,4.34,0.0
20190110:1710,0.0,0.0,0.0,0.0,4.33,4.34,0.0
20190110:1810,0.0,0.0,0.0,0.0,4.36,4.21,0.0
20190110:1910,0.0,0.0,0.0,0.0,4.63,5.03,0.0
20190110:2010,0.0,0.0,0.0,0.0,4.73,5.45,0.0
20190110:2110,0.0,0.0,0.0,0.0,4.74,5.66,0.0
20190110:2210,0.0,0.0,0.0,0.0,4.65,5.79,0.0
20190110:2310,0.0,0.0,0.0,0.0,4.43,5.72,0.0
20190111:0010,0.0,0.0,0.0,0.0,4.2,5.31,0.0
20190111:0110,0.0,0.0,0.0,0.0,4.07,5.1,0.0
20190111:0210,0.0,0.0,0.0,0.0,3.96,4.9,0.0
20190111:0310,0.0,0.0,0.0,0.0,4.02,4.62,0.0
20190111:0410,0.0,0.0,0.0,0.0,4.09,4.28,0.0
20190111:0510,0.0,0.0,0.0,0.0,4.27,4.0,0.0
20190111:0610,0.0,0.0,0.0,0.0,4.33,3.66,0.0
20190111:0710,0.0,0.0,0.0,0.0,4.07,3.45,0.0
20190111:0810,0.0,11.8,0.24,3.64,3.9,2.97,0.0
20190111:0910,260.9,114.78,2.92,11.92,3.88,2.34,0.0
20190111:1010,324.01,171.64,4.73,18.56,4.2,2.07,0.0
20190111:1110,490.93,184.21,6.45,23.01,4.53,2.14,0.0
20190111:1210,98.87,206.76,4.61,24.8,4.75,2.14,0.0
20190111:1310,565.51,159.41,6.96,23.71,4.92,1.86,0.0
20190111:1410,76.66,161.75,3.58,19.87,5.08,1.45,0.0
20190111:1510,0.0,83.78,1.79,13.72,5.19,1.1,0.0
20190111:1610,0.0,30.78,0.66,5.79,5.25,0.9,0.0
20190111:1710,0.0,0.0,0.0,0.0,5.01,0.69,0.0
20190111:1810,0.0,0.0,0.0,0.0,4.79,0.76,0.0
20190111:1910,0.0,0.0,0.0,0.0,4.82,0.55,0.0
20190111:2010,0.0,0.0,0.0,0.0,5.43,0.21,0.0
20190111:2110,0.0,0.0,0.0,0.0,5.04,0.62,0.0
20190111:2210,0.0,0.0,0.0,0.0,5.25,1.17,0.0
20190111:2310,0.0,0.0,0.0,0.0,5.57,1.38,0.0
20190112:0010,0.0,0.0,0.0,0.0,5.97,1.79,0.0
20190112:0110,0.0,0.0,0.0,0.0,6.32,2.28,0.0
20190112:0210,0.0,0.0,0.0,0.0,6.65,2.76,0.0
20190112:0310,0.0,0.0,0.0,0.0,6.6,2.97,0.0
20190112:0410,0.0,0.0,0.0,0.0,6.68,3.1,0.0
20190112:0510,0.0,0.0,0.0,0.0,6.88,3.17,0.0
20190112:0610,0.0,0.0,0.0,0.0,7.02,2.97,0.0
20190112:0710,0.0,0.0,0.0,0.0,7.0,2.07,0.0
20190112:0810,53.84,25.94,0.55,3.7,7.06,2.28,0.0
20190112:0910,8.93,69.8,1.43,12.01,7.29,2.55,0.0
20190112:1010,16.59,120.36,2.49,18.67,7.56,2.48,0.0
20190112:1110,2.14,118.37,2.39,23.14,7.88,2.9,0.0
20190112:1210,92.3,205.17,4.55,24.96,7.94,3.17,0.0
20190112:1310,10.2,145.24,2.98,23.88,8.16,3.59,0.0
20190112:1410,0.0,58.11,1.17,20.05,8.41,3.59,0.0
20190112:1510,0.0,86.35,1.85,13.9,8.7,4.21,0.0
20190112:1610,0.0,32.49,0.69,5.97,8.43,4.34,0.0
20190112:1710,0.0,0.0,0.0,0.0,8.2,4.07,0.0
20190112:1810,0.0,0.0,0.0,0.0,8.11,3.66,0.0
20190112:1910,0.0,0.0,0.0,0.0,7.82,3.93,0.0
20190112:2010,0.0,0.0,0.0,0.0,7.57,3.38,0.0
20190112:2110,0.0,0.0,0.0,0.0,7.76,3.31,0.0
20190112:2210,0.0,0.0,0.0,0.0,7.63,3.59,0.0
20190112:2310,0.0,0.0,0.0,0.0,7.68,3.66,0.0
20190113:0010,0.0,0.0,0.0,0.0,7.73,3.93,0.0
20190113:0110,0.0,0.0,0.0,0.0,7.65,3.93,0.0
20190113:0210,0.0,0.0,0.0,0.0,7.54,4.41,0.0
20190113:0310,0.0,0.0,0.0,0.0,7.34,4.9,0.0
20190113:0410,0.0,0.0,0.0,0.0,7.34,5.03,0.0
